source,target,value
United States,Janssen,1027.852402
United States,Moderna Therapeutics,956.29852
European Union,CEPI,576.3582275
European Union,BioNTech/Pfizer,550.291775
CEPI,Novavax,414.5
United Kingdom,CEPI,323.52275
Other European countries,CEPI,275.2893709
Singapore,BioNTech/Pfizer,250
United States,Novavax,119.952384
United Kingdom,University of Oxford/Astrazeneca,116.8105493
Canada,CEPI,45.02712
United States,Merck,38.03357
United States,CEPI,20.1
Australia,CEPI,5.2861725
Japan,CEPI,1.158509
CEPI,University of Oxford/Astrazeneca,1.1
CEPI,Moderna Therapeutics,1
China,University of Oxford/Astrazeneca,0.088135802
